Re,Magnet Center Distance,Amplitude,Outlet Type,Magnet Shape,Efficiency
0.015,1700,10,Type A,Circular,94.0775
0.012,1200,8,Type B,Square,60.197500000000005
0.01,1700,8,Type B,Square,85.1975
0.08,1750,0,Type B,Triangular,69.4675
0.1,1600,9,Type A,Square Rotated 45,82.6225
0.02,1550,10,Type A,Square Rotated 45,93.5675
0.028,1725,8,Type A,Triangular,86.46
0.02,1712,9,Type A,Square,96.1925
0.08,1575,6,Type B,Circular,86.9325
0.0225,1300,5,Type A,Square,73.37
0.1,1550,0,Type B,Square Rotated 45,74.80499999999999
0.08,1700,0,Type A,Triangular,70.80499999999999
0.03,1550,9,Type A,Triangular,81.645
0.01,2000,4,Type B,Circular,65.97500000000001
0.028,1550,6,Type A,Triangular,89.5975
0.05,1900,9,Type A,Square,81.235
0.021,1850,9,Type A,Square,91.8475
0.028,1712,7,Type A,Square Rotated 45,91.95
0.021,1575,7,Type B,Circular,96.36
0.012,1800,8,Type B,Square Rotated 45,81.29
0.03,1550,5,Type B,Triangular,84.9025
0.02,1550,5,Type A,Triangular,93.8175
0.01,1300,7,Type A,Square Rotated 45,59.22
0.03,1200,10,Type B,Triangular,55.11
0.05,1300,4,Type B,Square,53.14
0.08,1900,7,Type A,Square,80.275
0.015,1600,7,Type A,Square,98.36
0.08,1725,0,Type B,Triangular,69.97
0.012,1725,10,Type B,Triangular,75.69
0.015,1850,4,Type B,Square Rotated 45,81.83500000000001
0.01,1850,6,Type A,Triangular,77.2925
0.03,1900,10,Type A,Circular,79.015
0.1,1712,10,Type A,Square,82.1775
0.01,1900,10,Type A,Circular,75.43
0.015,1500,10,Type B,Circular,81.5775
0.029,1550,8,Type B,Circular,91.4925
0.03,1712,5,Type B,Square,90.535
0.03,1900,4,Type B,Square Rotated 45,70.7975
0.012,1600,7,Type A,Circular,84.73
0.015,2000,6,Type A,Square,92.105
0.08,1550,4,Type B,Square,75.5625
0.012,1725,4,Type B,Circular,73.035
0.021,1600,6,Type A,Triangular,92.94749999999999
0.028,1712,5,Type B,Square,95.23
0.012,1725,9,Type B,Square Rotated 45,81.7675
0.01,1500,9,Type B,Triangular,65.56
0.021,1575,10,Type A,Circular,93.2075
0.005,1725,6,Type A,Triangular,67.9825
0.012,1725,4,Type B,Square,74.16499999999999
0.01,1750,4,Type A,Triangular,67.48
0.029,1600,0,Type A,Square Rotated 45,82.21
0.01,1300,5,Type A,Square,62.5
0.029,1850,9,Type A,Triangular,81.46000000000001
0.08,1712,0,Type B,Circular,75.3075
0.012,1700,8,Type A,Circular,84.06750000000001
0.1,1750,8,Type A,Triangular,77.6975
0.029,1725,5,Type A,Square Rotated 45,92.45
0.0225,1850,5,Type B,Square Rotated 45,92.705
0.02,1850,0,Type B,Circular,83.77000000000001
0.025,1712,8,Type B,Square Rotated 45,93.2375
0.012,1712,9,Type A,Triangular,77.51
0.021,1550,4,Type A,Triangular,80.44749999999999
0.021,1700,7,Type B,Triangular,91.30749999999999
0.005,1550,6,Type A,Triangular,68.8175
0.029,1200,4,Type B,Circular,56.295
0.01,1575,0,Type A,Square Rotated 45,74.785
0.025,1800,8,Type B,Square,93.16000000000001
0.08,1900,8,Type A,Square,79.6125
0.012,1800,8,Type A,Triangular,76.7475
0.03,1575,5,Type B,Triangular,84.9025
0.021,1850,7,Type B,Circular,92.33500000000001
0.028,1750,9,Type B,Square,91.185
0.0225,1850,5,Type A,Circular,93.215
0.021,1500,8,Type A,Square Rotated 45,82.6875
0.015,1600,0,Type B,Triangular,82.74249999999999
0.028,2000,10,Type B,Square Rotated 45,81.4525
0.08,1800,4,Type B,Square Rotated 45,71.655
0.028,1900,7,Type A,Circular,86.8625
0.02,1575,0,Type A,Triangular,82.74249999999999
0.025,1850,8,Type A,Square,91.4025
0.02,1600,8,Type A,Triangular,91.515
0.02,1750,6,Type A,Circular,97.5325
0.02,1700,7,Type B,Square,98.36
0.02,1900,6,Type B,Square Rotated 45,92.21249999999999
0.028,1725,7,Type A,Circular,92.17500000000001
0.015,1200,6,Type A,Triangular,68.8175
0.0225,1725,7,Type B,Circular,94.765
0.015,1600,6,Type A,Square Rotated 45,98.36
0.1,1712,10,Type B,Triangular,75.99499999999999
0.01,1712,0,Type B,Triangular,69.6925
0.05,1500,7,Type B,Square Rotated 45,74.86
0.021,1500,5,Type B,Square Rotated 45,84.99
0.028,1575,7,Type B,Circular,93.01
0.02,1300,10,Type B,Triangular,64.02499999999999
0.029,1700,8,Type A,Square Rotated 45,90.9825
0.08,1700,8,Type A,Triangular,79.5775
0.01,1725,0,Type B,Triangular,69.4075
0.1,1750,6,Type A,Square Rotated 45,84.5425
0.005,1850,7,Type B,Square Rotated 45,67.695
0.05,1900,7,Type A,Square,82.85249999999999
0.05,1712,9,Type A,Square,86.83250000000001
0.005,1850,8,Type B,Square Rotated 45,67.0325
0.012,1850,10,Type A,Triangular,72.5
0.0225,1700,9,Type B,Square Rotated 45,93.47250000000001
0.028,1900,4,Type A,Triangular,70.95
0.05,1800,7,Type A,Triangular,80.55
0.0225,1700,4,Type B,Square Rotated 45,84.23
0.1,1600,10,Type B,Square,82.72749999999999
0.012,1800,4,Type B,Circular,71.6025
0.05,1850,8,Type B,Square Rotated 45,82.6725
0.028,1575,10,Type A,Square Rotated 45,89.3475
0.025,1300,8,Type B,Circular,69.2975
0.01,1712,4,Type A,Square,74.45
0.029,1850,4,Type A,Square Rotated 45,76.76
0.005,1575,7,Type A,Triangular,67.1775
0.01,2000,5,Type A,Square,79.605
0.005,2000,0,Type B,Square,56.03
0.028,1200,0,Type A,Circular,58.575
0.021,1800,6,Type B,Square,96.8625
0.028,1600,8,Type A,Triangular,87.295
0.02,1700,10,Type B,Circular,94.0775
0.01,1550,9,Type B,Triangular,78.06
0.015,1900,0,Type B,Square Rotated 45,81.1375
0.08,1800,9,Type B,Square Rotated 45,80.89750000000001
0.1,1900,9,Type A,Circular,76.985
0.028,1600,4,Type A,Triangular,77.0975
0.015,1850,6,Type B,Square Rotated 45,94.335
0.005,1900,0,Type B,Circular,56.64750000000001
0.05,1700,5,Type B,Square,90.64
0.0225,1550,4,Type B,Circular,84.74000000000001
0.05,1700,9,Type A,Square Rotated 45,85.7425
0.021,2000,7,Type B,Triangular,83.4125
0.0225,1500,6,Type A,Circular,84.74000000000001
0.08,1712,8,Type A,Circular,84.08000000000001
0.012,1700,6,Type A,Square Rotated 45,85.86
0.015,1850,8,Type A,Square Rotated 45,92.0325
0.01,1575,0,Type B,Square Rotated 45,74.785
0.02,1300,6,Type B,Square,75.0
0.021,2000,8,Type B,Triangular,82.75
0.021,1500,8,Type B,Square Rotated 45,82.6875
0.0225,1750,8,Type B,Circular,93.60000000000001
0.1,1200,7,Type B,Circular,59.75
0.025,1700,7,Type A,Triangular,89.9075
0.015,1600,0,Type B,Square,88.925
0.03,2000,4,Type A,Triangular,64.5075
0.028,1750,9,Type A,Circular,90.055
0.0225,2000,4,Type B,Circular,76.845
0.021,1500,9,Type B,Square,83.3725
0.029,1712,4,Type B,Square Rotated 45,80.235
0.025,1300,7,Type B,Square Rotated 45,69.45
0.025,1700,8,Type B,Square,95.42750000000001
0.1,1700,6,Type B,Circular,86.39
0.005,1900,10,Type B,Circular,62.93000000000001
0.08,1600,6,Type A,Square,88.0625
0.0225,1575,7,Type A,Triangular,90.5475
0.02,1800,5,Type B,Square Rotated 45,96.0925
0.005,1200,9,Type A,Triangular,40.56
0.029,1850,6,Type A,Triangular,84.7175
0.015,1200,9,Type B,Triangular,65.56
0.029,1575,9,Type A,Triangular,85.48499999999999
0.015,1575,9,Type A,Circular,95.61250000000001
0.012,1700,8,Type B,Square Rotated 45,83.5575
0.03,1712,10,Type B,Square Rotated 45,84.10249999999999
0.03,1300,6,Type B,Circular,64.955
0.05,1700,6,Type B,Triangular,84.4575
0.08,1700,9,Type A,Triangular,78.6225
0.028,1300,7,Type B,Circular,68.01
0.028,1750,0,Type A,Triangular,77.185
0.005,1700,4,Type B,Circular,61.370000000000005
0.03,1500,7,Type A,Square,76.945
0.012,1712,6,Type A,Square,86.95
0.0225,1850,0,Type B,Triangular,77.08749999999999
0.021,1550,8,Type B,Triangular,90.645
0.025,1725,4,Type A,Triangular,78.21249999999999
0.029,2000,8,Type A,Triangular,78.545
0.08,1750,4,Type A,Square Rotated 45,72.58500000000001
0.02,1575,7,Type B,Square Rotated 45,96.72
0.02,1750,8,Type B,Square Rotated 45,94.72
